"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"2/22/2022","Amazon","AMZN Mktp US WAAmzn.com/bill","7.48","debit","Shopping","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/21/2022","RUBEN ALLEN FB CA4029357733","PAYPAL *RUBEN ALLEN FB CA4029357733","13.63","debit","Charity","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/21/2022","RACHELAUCHI FB CA4029357733","PAYPAL *RACHELAUCHI FB CA4029357733","20.05","debit","Charity","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/21/2022","Amazon","AMZN Mktp US WAAmzn.com/bill","7.38","debit","Shopping","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/21/2022","McDonald's","MCDONALD'S M2058 IACEDAR RAPIDS","12.39","debit","Fast Food","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/21/2022","Wal-Mart","MURPHY7287ATWALMART IAMARION","35.54","debit","Gas & Fuel","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/20/2022","HP Instant Ink","HP *INSTANT INK CA855-785-2777","3.17","debit","Printing","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/20/2022","TOBACCOOUTLET560 IACEDAR RAPIDS","TOBACCOOUTLET560 IACEDAR RAPIDS","16.75","debit","Restaurants","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/21/2022","YOUTUBE TV G.CO/HELPPAY#CA","GOOGLE *YOUTUBE TV G.CO/HELPPAY#CA","58.84","debit","Television","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/19/2022","Hy-Vee","HY-VEE CEDAR RAPIDS 10 CEDAR RAPIDS IA","86.06","debit","Groceries","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/19/2022","PRIME VIDEO*1I7FZ1L91 888-802-3080 WA","PRIME VIDEO*1I7FZ1L91 888-802-3080 WA","3.19","debit","Movies & DVDs","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/19/2022","Burger King","BURGER KING #7746 Q07 CEDAR RAPIDS IA","5.35","debit","Fast Food","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/18/2022","Amazon","AMAZON.COM*8V80F7NZ3 A AMZN.COM/BILLWA","8.01","debit","Shopping","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/18/2022","Amazon","AMAZON.COM*ZH5UF7QW3 AMZN.COM/BILLWA","8.63","debit","Shopping","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/18/2022","Amazon","AMAZON.COM*3I6L43Q13 A AMZN.COM/BILLWA","2.99","debit","Shopping","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/18/2022","Amazon","AMAZON.COM*1I33X1C71 AMZN.COM/BILLWA","5.33","debit","Shopping","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/18/2022","Amazon","AMAZON.COM*LP9FH6C63 AMZN.COM/BILLWA","9.60","debit","Shopping","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/18/2022","Amazon","AMAZON.COM*4Q24Z6HT3 A AMZN.COM/BILLWA","5.48","debit","Shopping","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/18/2022","Amazon","AMAZON.COM*1I5HI6CO1 AMZN.COM/BILLWA","8.01","debit","Shopping","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/18/2022","Adobe Acrobat Pro","ADOBE ACROPRO SUBS 4085366000 CA","15.89","debit","Electronics & Software","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/17/2022","Hy-Vee","HY-VEE CEDAR RAPIDS 10 CEDAR RAPIDS IA","20.73","debit","Groceries","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/16/2022","REFUND OF LATE FEES","REFUND OF LATE FEES","40.00","credit","Late Fee","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/16/2022","THANK YOU","ONLINE PAYMENT THANK YOU","4000.00","credit","Credit Card Payment","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/16/2022","Pancheros Mexican Grill","PANCHEROS MEXICAN GRI CEDAR RAPIDS IA","19.69","debit","Restaurants","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/16/2022","YOU SOLD STRATEGIC ADVISERS SMALL-MID CAP FD (FSCFX) (Cash)","YOU SOLD STRATEGIC ADVISERS SMALL-MID CAP FD (FSCFX) (Cash)","2776.81","credit","Investments","ROLLOVER IRA","",""
"2/16/2022","YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER STRATEGIC ADVISERS CORE INCOME FUND (FPCIX) (Cash)","YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER STRATEGIC ADVISERS CORE INCOME FUND (FPCIX) (Cash)","10509.83","debit","Investments","ROLLOVER IRA","",""
"2/16/2022","YOU SOLD COHEN & STEERS REALTY SHARES (CSRSX) (Cash)","YOU SOLD COHEN & STEERS REALTY SHARES (CSRSX) (Cash)","1012.04","credit","Investments","ROLLOVER IRA","",""
"2/16/2022","YOU SOLD STRATEGIC ADVISERS LARGE CAP FUND (FALCX) (Cash)","YOU SOLD STRATEGIC ADVISERS LARGE CAP FUND (FALCX) (Cash)","6409.86","credit","Investments","ROLLOVER IRA","",""
"2/16/2022","YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER FIDELITY SAI INFLATION FOCUSED FD (FIFGX) (Cash)","YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER FIDELITY SAI INFLATION FOCUSED FD (FIFGX) (Cash)","3034.81","debit","Investments","ROLLOVER IRA","",""
"2/16/2022","YOU SOLD CONF:038798168 EATON VANCE GL MACRO ABSOLUTE RTRN ADVT (EGRAX) (Cash)","YOU SOLD CONF:038798168 EATON VANCE GL MACRO ABSOLUTE RTRN ADVT (EGRAX) (Cash)","1555.32","credit","Investments","ROLLOVER IRA","",""
"2/16/2022","YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER STRATEGIC ADVISERS SHORT DURATION FUND (FAUDX) (Cash)","YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER STRATEGIC ADVISERS SHORT DURATION FUND (FAUDX) (Cash)","1538.38","debit","Investments","ROLLOVER IRA","",""
"2/16/2022","YOU SOLD STRATEGIC ADVISERS INCOME OPPORTUNITIES (FPIOX) (Cash)","YOU SOLD STRATEGIC ADVISERS INCOME OPPORTUNITIES (FPIOX) (Cash)","1942.94","credit","Investments","ROLLOVER IRA","",""
"2/16/2022","YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER FID SAI LONG TERM TREASURY BOND INDEX (FBLTX) (Cash)","YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER FID SAI LONG TERM TREASURY BOND INDEX (FBLTX) (Cash)","1008.67","debit","Investments","ROLLOVER IRA","",""
"2/16/2022","YOU SOLD STRATEGIC ADVISERS INTERNATIONAL FUND (FILFX) (Cash)","YOU SOLD STRATEGIC ADVISERS INTERNATIONAL FUND (FILFX) (Cash)","2411.52","credit","Investments","ROLLOVER IRA","",""
"2/14/2022","McDonald's","MCDONALD'S M2040 IOWA CITY IA","6.35","debit","Fast Food","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/14/2022","Sushi House","SUSHI HOUSE CEDAR RAPIDS IA","40.01","debit","Restaurants","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/14/2022","TOBACCOOUTLET500005603 CEDAR RAPIDS IA","TOBACCOOUTLET500005603 CEDAR RAPIDS IA","14.66","debit","Entertainment","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/14/2022","Hy-Vee","HY-VEE CEDAR RAPIDS 10 CEDAR RAPIDS IA","56.06","debit","Groceries","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/14/2022","Dollar General","DOLLAR-GENERAL #9141 CEDAR RAPIDS IA","10.97","debit","Shopping","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/14/2022","Amazon","AMAZON PRIME*M08P19J93 AMZN.COM/BILLWA","6.41","debit","Shopping","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/14/2022","Target","TARGET 00017715 CEDAR RAPIDS IA","5.34","debit","Shopping","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/12/2022","Casey's","CASEYS #2772 CEDAR RAPIDS IA","39.58","debit","Gas & Fuel","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/12/2022","Hy-Vee","HY-VEE CEDAR RAPIDS 10 CEDAR RAPIDS IA","75.16","debit","Groceries","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/11/2022","Amazon","AMAZON.COM*KO1I966V3 A AMZN.COM/BILLWA","5.21","debit","Shopping","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/11/2022","THE HAZY HIDEAWAY CEDAR RAPIDS IA","THE HAZY HIDEAWAY CEDAR RAPIDS IA","11.75","debit","Hobbies","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/11/2022","INTEREST CHARGE ON PURCHASES","INTEREST CHARGE ON PURCHASES","70.61","debit","Finance Charge","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
"2/10/2022","Sam's Club","SAM'S CLUB 008162 CEDAR RAPIDS IA SAM'S/WAL-MART PURCHASE","249.16","debit","Groceries","Sam's Club&amp;#XX4; World Elite Mastercard&amp;#174;","",""
